사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
서광춘희,한식,영업,제주특별자치도 서귀포시 안덕면 서광리 141-10번지 ,제주특별자치도 서귀포시 안덕면 화순서동로 367,46,3.6,48,0,0.0,서귀포시,안덕
고등어쌈밥,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 232번지 ,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5,189,3.6,136,0,0.0,서귀포시,성산
올레마당,한식,영업,제주특별자치도 서귀포시 안덕면 사계리 135-1번지 ,제주특별자치도 서귀포시 안덕면 사계남로 224,34,4.4,109,0,0.0,서귀포시,안덕
다미진,한식,영업,제주특별자치도 서귀포시 표선면 표선리 40-51번지 ,제주특별자치도 서귀포시 표선면 민속해안로 578-1,100,4.7,253,0,0.0,서귀포시,표선
어머니와장독대,한식,영업,제주특별자치도 서귀포시 중앙로101번길 27 (서홍동),제주특별자치도 서귀포시 중앙로101번길 27 (서홍동),271,3.9,27,0,0.0,서귀포시,서귀포
돗통,한식,영업,제주특별자치도 서귀포시 안덕면 사계리 1036번지 ,제주특별자치도 서귀포시 안덕면 사계북로41번길 189,101,3.5,33,0,0.0,서귀포시,안덕
쇠소깍모꼬지,한식,영업,제주특별자치도 서귀포시 일주동로 8104 (하효동),제주특별자치도 서귀포시 일주동로 8104 (하효동),161,4.3,70,0,0.0,서귀포시,서귀포
흑돈오리,한식,영업,제주특별자치도 서귀포시 이중섭로 5-5 (서귀동),제주특별자치도 서귀포시 이중섭로 5-5 (서귀동),43,4.0,45,0,0.0,서귀포시,서귀포
중문흑돼지천국,한식,영업,제주특별자치도 서귀포시 대포동 2066-1번지 ,"제주특별자치도 서귀포시 이어도로 137, 1층 (대포동)",369,4.8,246,0,0.0,서귀포시,서귀포
동홍돈,한식,영업,제주특별자치도 서귀포시 동홍동 107-7번지 ,제주특별자치도 서귀포시 동홍남로 51 (동홍동),37,5.0,2,0,0.0,서귀포시,서귀포
행복한 시저네,한식,영업,제주특별자치도 서귀포시 호근동 1831-6번지 ,제주특별자치도 서귀포시 막동산로 5-4 (호근동),50,4.0,31,0,0.0,서귀포시,서귀포
새물국수,한식,영업,제주특별자치도 서귀포시 안덕면 화순리 847-1번지 ,제주특별자치도 서귀포시 안덕면 화순해안로 63,48,4.8,37,0,0.0,서귀포시,안덕
