사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars
대학로참닭갈비노형점,호프,영업,제주특별자치도 제주시 노형동 938-9번지 ,제주특별자치도 제주시 원노형로 52 (노형동),,,,
열려라참깨,술집,영업,제주특별자치도 제주시 일도이동 67-5번지 ,제주특별자치도 제주시 연수로1길 3 (일도이동),,,,
유끼,한식,영업,제주특별자치도 제주시 연동 282-26번지 (연중3로23) ,"제주특별자치도 제주시 은남2길 32 (연동,(연중3로23))",,,,
신용국수,한식,영업,제주특별자치도 제주시 용담일동 228-16번지 ,제주특별자치도 제주시 용담로 129-1 (용담일동),,,,
낮과밤,카페,영업,제주특별자치도 제주시 이도일동 1252-4번지 ,제주특별자치도 제주시 동광로 21 (이도일동),,,,
돼지물고기,고기,영업,제주특별자치도 제주시 한림읍 한림리 1315-5번지 ,제주특별자치도 제주시 한림읍 한림북동길 2,,,,
대선,한식,영업,제주특별자치도 제주시 연동 282-25번지 (연중2로53) ,"제주특별자치도 제주시 신대로12길 37 (연동,(연중2로53))",,,,
새힘회센타,해산물,영업,제주특별자치도 제주시 건입동 1414번지 ,제주특별자치도 제주시 중앙로1길 6 (건입동),,,,
카페썬,호프,영업,제주특별자치도 제주시 연동 292-9 ,제주특별자치도 제주시 삼무로 72 (연동),,,,
버무리떡볶이연동점,분식,영업,제주특별자치도 제주시 연동 1399 107호,"제주특별자치도 제주시 국기로 14, 107호 (연동)",,,,
신영돌판구이,한식,영업,제주특별자치도 제주시 연동 303-29번지 ,제주특별자치도 제주시 신대로15길 2 (연동),,,,
코끼리분식,한식,영업,제주특별자치도 제주시 한림읍 한림리 1206번지 ,제주특별자치도 제주시 한림읍 한림리 1206번지 ,,,,
한라식당,한식,영업,제주특별자치도 제주시 구좌읍 2227번지 (99.11.6. 북제주군조례 제1627호에 의거 리명칭및행정구역 변경에 따른 지번 변경됨) ,제주특별자치도 제주시 구좌읍 김녕로 99-1,,,,
양푼이막창용담점,고기,영업,제주특별자치도 제주시 용담일동 189-3번지 ,제주특별자치도 제주시 남성로 43 (용담일동),,,,
좋은날,한식,영업,제주특별자치도 제주시 조천읍 함덕리 1261-3번지 ,제주특별자치도 제주시 조천읍 함덕12길 3,,,,
감자바우,한식,영업,제주특별자치도 제주시 일도일동 1220-2번지 ,제주특별자치도 제주시 중앙로7길 25 (일도일동),,,,
이호해변,해산물,영업,제주특별자치도 제주시 이호일동 1665-2번지 (서해안로673) ,"제주특별자치도 제주시 테우해안로 176 (이호일동,(서해안로673))",,,,
뜰향기,한식,영업,제주특별자치도 제주시 조천읍 와흘리 122-3번지 ,제주특별자치도 제주시 조천읍 남조로 2326,,,,
천지연무태장어천지연,고기,영업,제주특별자치도 제주시 이도이동 387 ,제주특별자치도 제주시 연삼로 461 (이도이동),,,,
토크쇼서사라점,호프,영업,제주특별자치도 제주시 삼도일동 521-8번지 ,"제주특별자치도 제주시 서광로13길 10, 1층 (삼도일동)",,,,
청년다방연동점,분식,영업,제주특별자치도 제주시 연동 2326-4번지 ,"제주특별자치도 제주시 성신로1길 25, 1층 (연동)",,,,
산드레,한식,영업,제주특별자치도 제주시 도두이동 87-6번지 ,"제주특별자치도 제주시 다호5길 10, 1층 (도두이동)",,,,
애월하와이,양식,영업,제주특별자치도 제주시 애월읍 고내리 11-6번지 ,"제주특별자치도 제주시 애월읍 신엄안3길 99, 1층",,,,
어부지리,해산물,영업,제주특별자치도 제주시 삼양일동 1577-15 ,"제주특별자치도 제주시 선사로8길 85, 1층 (삼양일동)",,,,
요기소바,일식,영업,제주특별자치도 제주시 노형동 931-1 ,"제주특별자치도 제주시 원노형6길 3-4, 1층 (노형동)",,,,
비자림 양푼이 국수,한식,영업,제주특별자치도 제주시 구좌읍 평대리 3212번지 ,"제주특별자치도 제주시 구좌읍 비자림로 2235-2, 1층",,,,
스시도모다찌칠성점,일식,영업,제주특별자치도 제주시 일도일동 1465-4번지 ,"제주특별자치도 제주시 관덕로13길 3, 1층 (일도일동)",,,,
관심사,카페,영업,제주특별자치도 제주시 이도일동 1413-1번지 ,"제주특별자치도 제주시 중앙로 77, 지하1층 (이도일동)",,,,
남가네설악추어탕도남점,한식,영업,제주특별자치도 제주시 도남동 62-7번지 ,"제주특별자치도 제주시 도남로 102, 1층 (도남동)",,,,
하미,해산물,영업,제주특별자치도 제주시 애월읍 애월리 2550 ,"제주특별자치도 제주시 애월읍 애월북서길 54, 1층",,,,
세화달팽이,카페,영업,제주특별자치도 제주시 이도이동 1084-12 ,"제주특별자치도 제주시 남광로 19, 1층 (이도이동)",,,,
제주엔찜함덕,한식,영업,제주특별자치도 제주시 조천읍 함덕리 1004-30번지 ,"제주특별자치도 제주시 조천읍 조함해안로 530, 1층 102호",,,,
투접시족발일도점,야식,영업,제주특별자치도 제주시 일도이동 47-1 신천지아파트 ,"제주특별자치도 제주시 천수로 68, 신천지아파트 113동 1층 111호 (일도이동)",,,,
대한축산정육식당,고기,영업,제주특별자치도 제주시 도남동 922-31 ,"제주특별자치도 제주시 도남로 51, 1층 (도남동)",,,,
유니온제주,호프,영업,제주특별자치도 제주시 구좌읍 월정리 33-12 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 486, B103호",,,,
제주정곱창,한식,영업,제주특별자치도 제주시 연동 283-53번지 ,"제주특별자치도 제주시 은남4길 31, 1층 (연동)",,,,
오도독,분식,영업,제주특별자치도 제주시 연동 291-135번지 ,"제주특별자치도 제주시 삼무로3길 9, 1층 (연동)",,,,
2월22일(Twenty second of February),카페,영업,제주특별자치도 제주시 오라일동 1012-8 ,"제주특별자치도 제주시 오라로18길 10-1, 1층 (오라일동)",,,,
어음밥집,한식,영업,제주특별자치도 제주시 애월읍 어음리 2949-4번지 ,"제주특별자치도 제주시 애월읍 어림비로 393-1, 1층",,,,
한림야식전문점엔드실비,야식,영업,제주특별자치도 제주시 한림읍 한림리 1314-106번지 ,"제주특별자치도 제주시 한림읍 한수풀로 4, 1층",,,,
