사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동
카페송키,카페,영업,제주특별자치도 제주시 삼도이동 1120-2번지 ,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",45,4.3,93,4.58,제주시,제주
스톤아일랜드탭하우스,호프,영업,제주특별자치도 제주시 연동 280-37 ,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",44,4.5,147,4.47,제주시,제주
와르다레스토랑,양식,영업,제주특별자치도 제주시 삼도이동 148-3번지 ,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",42,4.7,135,4.69,제주시,제주
제주마당,해산물,영업,제주특별자치도 제주시 이호일동 663-1번지 ,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",161,3.9,1224,4.35,제주시,제주
공산명월,카페,영업,제주특별자치도 제주시 애월읍 광령리 2611-1 ,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",58,4.6,183,4.6,제주시,애월
램하우스,고기,영업,제주특별자치도 제주시 조천읍 교래리 471-3 ,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층",515,4.9,1945,4.79,제주시,조천
살레안의고깃,고기,영업,제주특별자치도 제주시 노형동 1942-1번지 ,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)",32,4.3,113,3.97,제주시,제주
인추자커피앤민박,카페,영업,제주특별자치도 제주시 추자면 대서리 8-8 ,"제주특별자치도 제주시 추자면 추자로 20-1, 1층",31,3.7,103,4.3,제주시,추자도
혜안,양식,영업,제주특별자치도 제주시 해안동 1724-1 ,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)",105,3.8,123,4.34,제주시,제주
호자,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1318-3번지 ,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층",143,4.3,351,0.0,제주시,구좌
한림칼국수제주세화,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1-15번지 ,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",212,4.2,514,4.51,제주시,구좌
애월기록,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 2964-9번지 ,"제주특별자치도 제주시 애월읍 번대동길 4, 1층",52,4.5,167,4.65,제주시,애월
딜레탕트,카페,영업,제주특별자치도 제주시 조천읍 조천리 3253-12 ,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층",411,4.9,466,4.91,제주시,조천
미리로,카페,영업,제주특별자치도 제주시 이호일동 1795번지 ,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)",32,4.4,350,4.57,제주시,제주
36.5도여름,카페,영업,제주특별자치도 제주시 애월읍 납읍리 2274-7번지 ,"제주특별자치도 제주시 애월읍 애납로 165, 1층",34,4.7,84,4.61,제주시,애월
안녕전복,한식,영업,제주특별자치도 제주시 삼도이동 887-1번지 ,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)",93,4.6,593,4.55,제주시,제주
부원뚝배기,한식,영업,제주특별자치도 제주시 한림읍 대림리 1221-6번지 ,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층",106,4.0,326,4.41,제주시,한림
호탕,한식,영업,제주특별자치도 제주시 애월읍 애월리 1574-2번지 ,"제주특별자치도 제주시 애월읍 애월로8길 8, 1층",60,3.9,238,4.43,제주시,애월
고이정,고기,영업,제주특별자치도 제주시 애월읍 애월리 2457-1 ,"제주특별자치도 제주시 애월읍 애월로 6, A동 1층",620,4.4,4557,4.61,제주시,애월
일품순두부함덕,한식,영업,제주특별자치도 제주시 조천읍 함덕리 4149-5번지 ,"제주특별자치도 제주시 조천읍 함와로 24, 1층",31,4.0,408,4.4,제주시,조천
방긋스낵,분식,영업,제주특별자치도 제주시 구좌읍 행원리 1537-21 ,"제주특별자치도 제주시 구좌읍 행원로1길 32-5, 1층",71,3.8,250,4.5,제주시,구좌
당당,카페,영업,제주특별자치도 제주시 애월읍 신엄리 1212-1번지 ,제주특별자치도 제주시 애월읍 중엄안1길 25,222,3.7,799,0.0,제주시,애월
카페포레스트,카페,영업,제주특별자치도 제주시 구좌읍 평대리 2876-11번지 ,"제주특별자치도 제주시 구좌읍 비자림로 2330, 1층",42,4.4,0,0.0,제주시,구좌
이스트포레스트,양식,영업,제주특별자치도 제주시 구좌읍 종달리 1027번지 ,"제주특별자치도 제주시 구좌읍 종달로1길 26-1, 1층",274,4.2,1349,4.49,제주시,구좌
하르방짬뽕,중식,영업,제주특별자치도 제주시 애월읍 하귀1리 214-4번지 ,"제주특별자치도 제주시 애월읍 하귀동남4길 4, 1층",80,4.2,555,4.34,제주시,애월
장어창고,한식,영업,제주특별자치도 제주시 한경면 두모리 2462-1번지 ,"제주특별자치도 제주시 한경면 두신로 146, 1층",58,4.8,143,4.79,제주시,한경
동백키친,한식,영업,제주특별자치도 제주시 한림읍 수원리 479-1번지 ,"제주특별자치도 제주시 한림읍 수원7길 42, 1층",63,3.7,327,4.63,제주시,한림
돌담위에흑돼지,한식,영업,제주특별자치도 제주시 애월읍 신엄리 963-3번지 ,"제주특별자치도 제주시 애월읍 애월해안로 608, 1층",56,4.4,348,4.61,제주시,애월
엘리펀트힙,카페,영업,제주특별자치도 제주시 삼도이동 1261-10 ,"제주특별자치도 제주시 탑동로 20, 1층 (삼도이동)",57,4.5,145,4.62,제주시,제주
딱새우랑,해산물,영업,제주특별자치도 제주시 구좌읍 한동리 1367번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 990, 1층",92,3.9,331,4.36,제주시,구좌
돈사돈월정,한식,영업,제주특별자치도 제주시 구좌읍 한동리 1437-1번지 ,"제주특별자치도 제주시 구좌읍 한동북1길 29-3, 1층",143,4.1,675,0.0,제주시,구좌
애월연어,일식,영업,제주특별자치도 제주시 애월읍 유수암리 2709-1 ,"제주특별자치도 제주시 애월읍 하소로 660, 1층",193,4.6,0,0.0,제주시,애월
태하횟집,해산물,영업,제주특별자치도 제주시 용담일동 409 ,"제주특별자치도 제주시 동한두기길 31-2, 1,2층 (용담일동)",110,4.7,223,4.38,제주시,제주
태랑,한식,영업,제주특별자치도 제주시 이호일동 1795번지 ,"제주특별자치도 제주시 테우해안로 136, 1층 (이호일동)",80,4.1,309,4.68,제주시,제주
브루클린,카페,영업,제주특별자치도 제주시 애월읍 신엄리 2891-3 ,"제주특별자치도 제주시 애월읍 신엄연대길 30, 1층",47,4.6,207,4.6,제주시,애월
곰돌이숯불갈비,한식,영업,제주특별자치도 제주시 연동 2303-3 ,"제주특별자치도 제주시 일주서로 7852, 1층 (연동)",30,5.0,59,4.76,제주시,제주
옛날아우내순대,한식,영업,제주특별자치도 제주시 애월읍 하귀2리 2626번지 ,"제주특별자치도 제주시 애월읍 애월해안로 960, 1층",30,4.4,0,0.0,제주시,애월
로스트앤헤븐,카페,영업,제주특별자치도 제주시 이호일동 1707번지 ,"제주특별자치도 제주시 테우해안로 162, 1층 (이호일동)",63,3.8,565,4.31,제주시,제주
동귀리갈칫집,한식,영업,제주특별자치도 제주시 노형동 2737 ,"제주특별자치도 제주시 월랑로 83, 1층 (노형동)",109,4.1,471,4.59,제주시,제주
서프라이즈,한식,영업,제주특별자치도 제주시 조천읍 와흘리 산 13-86 ,"제주특별자치도 제주시 조천읍 남조로 2243, 1동 1층",158,4.7,38,4.35,제주시,조천
협재술집김씨술생활,일식,영업,제주특별자치도 제주시 한림읍 협재리 1586번지 ,"제주특별자치도 제주시 한림읍 한림로 406, 2층",50,3.9,0,0.0,제주시,한림
명호,고기,영업,제주특별자치도 제주시 연동 292-57번지 ,"제주특별자치도 제주시 신대로12길 15, 1층 (연동)",110,4.0,341,4.45,제주시,제주
김녕에사는김영훈,카페,영업,제주특별자치도 제주시 구좌읍 김녕리 3546 ,"제주특별자치도 제주시 구좌읍 김녕로6길 2, 1층",53,4.8,265,4.75,제주시,구좌
카페책자국,카페,영업,제주특별자치도 제주시 구좌읍 종달리 563번지 ,"제주특별자치도 제주시 구좌읍 종달로1길 117, 1층",47,4.9,101,4.59,제주시,구좌
카페원웨이,카페,영업,제주특별자치도 제주시 한경면 금등리 652-4 ,"제주특별자치도 제주시 한경면 일주서로 4459-4, 1,2층",51,4.6,240,4.64,제주시,한경
스토브온제주,양식,영업,제주특별자치도 제주시 한림읍 상명리 1036번지 ,"제주특별자치도 제주시 한림읍 중산간서로 4062, 나동 1층",33,4.7,155,4.86,제주시,한림
협재1번가,한식,영업,제주특별자치도 제주시 한림읍 협재리 1728번지 ,"제주특별자치도 제주시 한림읍 협재1길 1, 1층",33,4.0,271,4.55,제주시,한림
순수한둠비,한식,영업,제주특별자치도 제주시 용담일동 310번지 ,"제주특별자치도 제주시 서문로 37-11, 2층 (용담일동)",103,4.4,848,4.5,제주시,제주
고산카페,카페,영업,제주특별자치도 제주시 한경면 고산리 2922-6번지 ,"제주특별자치도 제주시 한경면 용고로 73, 1층",45,4.7,19,4.5,제주시,한경
동녘,해산물,영업,제주특별자치도 제주시 구좌읍 종달리 452번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 2232-30, 1층",180,3.6,374,4.65,제주시,구좌
공생,한식,영업,제주특별자치도 제주시 일도이동 372-9번지 ,"제주특별자치도 제주시 천수동로2길 23, 1층 (일도이동)",30,4.6,50,4.68,제주시,제주
구어라조연탄,고기,영업,제주특별자치도 제주시 이도이동 1765-1 ,"제주특별자치도 제주시 서광로32길 28, 1층 (이도이동)",61,5.0,47,4.63,제주시,제주
뜨레솥밥,한식,영업,제주특별자치도 제주시 애월읍 고성리 920-20 ,"제주특별자치도 제주시 애월읍 평화로 2556, 1층",54,3.9,128,4.37,제주시,애월
금능제면소,한식,영업,제주특별자치도 제주시 한림읍 금능리 1361 ,"제주특별자치도 제주시 한림읍 금능길 47, 제2동 1층",89,4.2,811,0.0,제주시,한림
말리가,카페,영업,제주특별자치도 제주시 한림읍 협재리 1071-3번지 ,"제주특별자치도 제주시 한림읍 협재로 124, 1층",246,4.7,125,4.77,제주시,한림
감귤달,카페,영업,제주특별자치도 제주시 구좌읍 평대리 1989-1번지 ,"제주특별자치도 제주시 구좌읍 평대5길 31-29, 1층",48,4.2,316,4.49,제주시,구좌
상춘재,한식,영업,제주특별자치도 제주시 조천읍 선흘리 1829-11 ,"제주특별자치도 제주시 조천읍 선진길 26, 1층",282,4.2,1864,4.55,제주시,조천
해녀의부엌,한식,영업,제주특별자치도 제주시 구좌읍 종달리 477-16번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 2265, 1층",108,4.4,1894,4.8,제주시,구좌
환영키친앤게스트하우스,양식,영업,제주특별자치도 제주시 구좌읍 송당리 1358-1번지 ,"제주특별자치도 제주시 구좌읍 송당2길 2, 1층",45,4.7,0,0.0,제주시,구좌
컴컴제주,경양식,영업,제주특별자치도 제주시 한림읍 옹포리 643 ,"제주특별자치도 제주시 한림읍 한림로 470, 1~2층",92,3.9,212,4.44,제주시,한림
마음에온,카페,영업,제주특별자치도 제주시 일도일동 1301-4번지 ,"제주특별자치도 제주시 칠성로길 29-1, 1층 (일도일동)",195,4.6,510,4.67,제주시,제주
칠프로칠백식당아라직영,한식,영업,제주특별자치도 제주시 아라일동 6090-4번지 ,"제주특별자치도 제주시 아란9길 6-5, 1층 (아라일동)",97,5.0,141,4.79,제주시,제주
포구횟집,일식,영업,제주특별자치도 제주시 애월읍 하귀2리 2727 ,제주특별자치도 제주시 애월읍 가문동길 43,95,3.7,0,0.0,제주시,애월
흑돼지촌,고기,영업,제주특별자치도 제주시 한림읍 동명리 1858 ,"제주특별자치도 제주시 한림읍 한림상로 62, 1층",95,4.8,0,0.0,제주시,한림
간장을품은소라게,경양식,영업,제주특별자치도 제주시 애월읍 하귀2리 1674 ,제주특별자치도 제주시 애월읍 하귀미수포길 4,92,4.3,568,4.69,제주시,애월
우도물들이,한식,영업,제주특별자치도 제주시 우도면 연평리 813 ,제주특별자치도 제주시 우도면 연평리 813 ,54,4.7,885,4.5,제주시,우도
마마무말가든,고기,영업,제주특별자치도 제주시 오라이동 779-1 ,"제주특별자치도 제주시 아연로 157, 1층 (오라이동)",76,4.5,393,4.58,제주시,제주
해월정,한식,영업,제주특별자치도 제주시 구좌읍 종달리 608 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 2340, 1층",408,3.9,2459,4.22,제주시,구좌
대춘해장국노형,한식,영업,제주특별자치도 제주시 노형동 908-3 ,"제주특별자치도 제주시 원노형로 11, 1층 (노형동)",64,4.8,730,4.47,제주시,제주
제주노조미,한식,영업,제주특별자치도 제주시 연동 1501-15 ,"제주특별자치도 제주시 국기로2길 2-3, 1층 (연동)",59,4.3,465,4.44,제주시,제주
고씨네막창,한식,영업,제주특별자치도 제주시 도남동 86-3 ,제주특별자치도 제주시 신성로 88 (도남동),73,3.9,71,4.44,제주시,제주
각지불,한식,영업,제주특별자치도 제주시 조천읍 교래리 217 ,제주특별자치도 제주시 조천읍 남조로 1751,36,4.3,377,4.5,제주시,조천
돈구어,한식,영업,제주특별자치도 제주시 구좌읍 세화리 3648-1번지 ,제주특별자치도 제주시 구좌읍 세화1길 15,99,4.2,388,0.0,제주시,구좌
해변,해산물,영업,제주특별자치도 제주시 애월읍 애월리 410-6번지 ,제주특별자치도 제주시 애월읍 애월해안로 90,458,4.5,0,0.0,제주시,애월
탐라가든,고기,영업,제주특별자치도 제주시 삼도이동 632-7번지 (서사로69) ,"제주특별자치도 제주시 서사로 51 (삼도이동,(서사로69))",97,3.8,515,4.4,제주시,제주
남춘,한식,영업,제주특별자치도 제주시 이도이동 379-3번지 ,제주특별자치도 제주시 청귤로 12 (이도이동),154,4.2,812,4.43,제주시,제주
태공식당,한식,영업,제주특별자치도 제주시 애월읍 애월리 1716-1번지 ,제주특별자치도 제주시 애월읍 애월로11길 7,33,3.6,321,4.42,제주시,애월
동진,한식,영업,제주특별자치도 제주시 일도일동 1146번지 ,제주특별자치도 제주시 일도일동 1146번지 ,66,3.9,370,4.36,제주시,제주
호돌이식당,한식,영업,제주특별자치도 제주시 한림읍 협재리 3025번지 ,제주특별자치도 제주시 한림읍 협재리 3025번지 ,30,4.1,507,4.45,제주시,한림
동강,한식,영업,제주특별자치도 제주시 도남동 901-9번지 ,"제주특별자치도 제주시 신성로 17, 1층 (도남동)",136,4.3,348,4.31,제주시,제주
섬소나이,양식,영업,제주특별자치도 제주시 우도면 연평리 1290-6 ,제주특별자치도 제주시 우도면 우도해안길 814,163,4.3,1731,4.59,제주시,우도
곽지식당,한식,영업,제주특별자치도 제주시 애월읍 곽지리 1575-3 ,제주특별자치도 제주시 애월읍 곽지3길 27,35,4.2,360,4.54,제주시,애월
복집,한식,영업,제주특별자치도 제주시 용담일동 109번지 ,제주특별자치도 제주시 비룡길 5 (용담일동),36,4.1,213,4.33,제주시,제주
교래손칼국수,한식,영업,제주특별자치도 제주시 조천읍 교래리 491 ,제주특별자치도 제주시 조천읍 비자림로 645,43,3.9,0,0.0,제주시,조천
자양삼계탕,호프,영업,제주특별자치도 제주시 삼도이동 108-16 (향사2로27) ,"제주특별자치도 제주시 관덕로6길 17 (삼도이동,(향사2로27))",114,4.4,149,4.68,제주시,제주
신설오름,한식,영업,제주특별자치도 제주시 일도이동 409-5 ,제주특별자치도 제주시 고마로17길 2 (일도이동),233,4.1,1276,4.42,제주시,제주
종배네,한식,영업,제주특별자치도 제주시 한경면 고산리 2211-1 ,"제주특별자치도 제주시 한경면 고락로 2, 1층",209,4.2,220,4.67,제주시,한경
해녀촌식당,한식,영업,제주특별자치도 제주시 구좌읍 동복리 1638-1 ,제주특별자치도 제주시 구좌읍 동복로 33,161,3.6,0,0.0,제주시,구좌
제주본,한식,영업,제주특별자치도 제주시 노형동 933-17번지 (송천1로74) ,"제주특별자치도 제주시 원노형남1길 31 (노형동,(송천1로74))",110,4.1,0,0.0,제주시,제주
삼대국수회관,한식,영업,제주특별자치도 제주시 일도이동 1045-12 ,제주특별자치도 제주시 삼성로 41 (일도이동),328,3.5,2274,4.22,제주시,제주
용출,해산물,영업,제주특별자치도 제주시 용담삼동 505번지 ,제주특별자치도 제주시 서해안로 660 (용담삼동),46,4.0,275,4.2,제주시,제주
장원삼계탕,한식,영업,제주특별자치도 제주시 조천읍 조천리 2345-6번지 ,제주특별자치도 제주시 조천읍 신북로 258,67,4.9,0,0.0,제주시,조천
재연식당,한식,영업,제주특별자치도 제주시 구좌읍 세화리 3644-8번지 ,제주특별자치도 제주시 구좌읍 세화3길 27-2,115,3.7,796,4.49,제주시,구좌
삼일식당,한식,영업,제주특별자치도 제주시 한림읍 동명리 1614-8 ,제주특별자치도 제주시 한림읍 한림상로 92,57,4.4,672,4.51,제주시,한림
임성반,중식,영업,제주특별자치도 제주시 용담이동 622-1번지 ,제주특별자치도 제주시 용화로 57-1 (용담이동),66,4.0,475,4.36,제주시,제주
해금강,해산물,영업,제주특별자치도 제주시 건입동 1435-1번지 ,제주특별자치도 제주시 서부두길 28 (건입동),255,4.1,154,4.84,제주시,제주
제주섬돈,한식,영업,제주특별자치도 제주시 연동 271-30 ,제주특별자치도 제주시 삼무로3길 46 (연동),121,5.0,263,4.82,제주시,제주
화성,한식,영업,제주특별자치도 제주시 삼양이동 2137-26번지 ,제주특별자치도 제주시 일주동로 383 (삼양이동),87,4.0,467,4.41,제주시,제주
논짓물,호프,영업,제주특별자치도 제주시 연동 282-21 ,제주특별자치도 제주시 신대로12길 41 (연동),173,3.6,1135,4.52,제주시,제주
스시도모다찌,일식,영업,제주특별자치도 제주시 이도이동 1772-3번지 ,"제주특별자치도 제주시 광양8길 1, 2층 (이도이동)",82,3.9,787,4.43,제주시,제주
용담기사,한식,영업,제주특별자치도 제주시 용담이동 358-4번지 (대교로21) ,"제주특별자치도 제주시 용담로 98 (용담이동,(대교로21))",94,4.2,225,4.33,제주시,제주
비지곶식당,한식,영업,제주특별자치도 제주시 구좌읍 평대리 827-4번지 ,제주특별자치도 제주시 구좌읍 일주동로 3002,37,4.3,292,4.45,제주시,구좌
제주정지,한식,영업,제주특별자치도 제주시 용담삼동 2367-6번지 ,"제주특별자치도 제주시 서해안로 480, 1층 (용담삼동)",106,4.3,1094,4.65,제주시,제주
골막,한식,영업,제주특별자치도 제주시 이도이동 362-1 ,"제주특별자치도 제주시 천수로 12 (이도이동,(동여중길18))",172,4.0,987,4.4,제주시,제주
시골길,한식,영업,제주특별자치도 제주시 연동 292-36번지 (은남2로13) ,"제주특별자치도 제주시 연동13길 9 (연동,(은남2로13))",135,3.6,715,4.3,제주시,제주
강명선샤브샤브,한식,영업,제주특별자치도 제주시 연동 300-17 ,제주특별자치도 제주시 귀아랑길 14 (연동),86,3.6,236,4.44,제주시,제주
안전,한식,영업,제주특별자치도 제주시 건입동 709-3번지 ,제주특별자치도 제주시 사라봉길 4 (건입동),52,4.4,309,4.44,제주시,제주
앞돈지,한식,영업,제주특별자치도 제주시 건입동 1370번지 ,제주특별자치도 제주시 중앙로1길 28 (건입동),35,3.8,342,4.36,제주시,제주
해진횟집,해산물,영업,제주특별자치도 제주시 건입동 1435-2 ,제주특별자치도 제주시 서부두길 26 (건입동),216,4.0,272,4.5,제주시,제주
천금,중식,영업,제주특별자치도 제주시 삼도이동 20-5 ,"제주특별자치도 제주시 북성로 7, 1층 (삼도이동)",102,3.5,594,4.21,제주시,제주
해품돈연동,한식,영업,제주특별자치도 제주시 연동 274-6 ,"제주특별자치도 제주시 신광로 75, 1층 (연동)",83,4.0,21,4.06,제주시,제주
윤재커피,카페,영업,제주특별자치도 제주시 이도일동 1403-2번지 ,"제주특별자치도 제주시 중앙로12길 1, 1층 (이도일동)",33,5.0,420,4.9,제주시,제주
터미널남원,한식,영업,제주특별자치도 제주시 용담일동 2827-17번지 (남사1로14) ,"제주특별자치도 제주시 서광로3길 6 (용담일동,(남사1로14))",107,4.6,215,4.22,제주시,제주
호근동,한식,영업,제주특별자치도 제주시 이도이동 1766-4번지 ,제주특별자치도 제주시 광양10길 17 (이도이동),41,4.2,136,4.62,제주시,제주
전망대횟집,해산물,영업,제주특별자치도 제주시 한림읍 한수리 914-9번지 ,제주특별자치도 제주시 한림읍 한림해안로 229-14,60,4.4,297,4.54,제주시,한림
두루두루,한식,영업,제주특별자치도 제주시 연동 291-10번지 (성두5로22) ,"제주특별자치도 제주시 삼무로3길 14 (연동,(성두5로22))",30,4.4,167,4.31,제주시,제주
고집돌우럭제주공항,한식,영업,제주특별자치도 제주시 건입동 1319-124 ,제주특별자치도 제주시 임항로 30 (건입동),1245,4.8,5428,4.71,제주시,제주
이호,해산물,영업,제주특별자치도 제주시 이호일동 1667-1번지 ,제주특별자치도 제주시 테우해안로 174 (이호일동),45,4.3,0,0.0,제주시,제주
교래향,한식,영업,제주특별자치도 제주시 조천읍 교래리 산 56-1 ,제주특별자치도 제주시 조천읍 비자림로 638,163,4.2,469,4.35,제주시,조천
제주함덕저팔계깡통연탄구이,고기,영업,제주특별자치도 제주시 조천읍 함덕리 1271번지 ,제주특별자치도 제주시 조천읍 신북로 531,145,3.6,859,4.51,제주시,조천
차돌집,한식,영업,제주특별자치도 제주시 연동 291-7번지 ,제주특별자치도 제주시 신대로10길 29 (연동),39,4.0,253,4.43,제주시,제주
치저스,한식,영업,제주특별자치도 제주시 구좌읍 송당리 1581-1번지 ,"제주특별자치도 제주시 구좌읍 비자림로 1785, 1층",139,4.0,3400,4.76,제주시,구좌
춘월맛집,한식,영업,제주특별자치도 제주시 도두일동 2628-6 ,"제주특별자치도 제주시 도두항서길 5, 1,2층 (도두일동)",125,4.0,358,0.0,제주시,제주
슈퍼보틀,양식,영업,제주특별자치도 제주시 연동 272-22 ,"제주특별자치도 제주시 은남1길 46, 1~2층 (연동)",31,4.8,187,4.8,제주시,제주
제주동백을담다,한식,영업,제주특별자치도 제주시 아라일동 2386-3번지 ,"제주특별자치도 제주시 구산로 41, 1층 (아라일동)",35,4.8,57,4.47,제주시,제주
한라축산,고기,영업,제주특별자치도 제주시 노형동 149번지 ,"제주특별자치도 제주시 1100로 3128, 나동 1층 (노형동)",40,3.6,1225,4.38,제주시,제주
담다,한식,영업,제주특별자치도 제주시 한림읍 협재리 1750-1 ,"제주특별자치도 제주시 한림읍 협재4길 8, 1층",664,3.8,1698,4.69,제주시,한림
회춘,한식,영업,제주특별자치도 제주시 조천읍 함덕리 1015-1번지 ,"제주특별자치도 제주시 조천읍 신북로 489, 1층",152,3.9,1034,4.41,제주시,조천
오이디오339,카페,영업,제주특별자치도 제주시 외도이동 339번지 ,"제주특별자치도 제주시 일주서로 7345, 1층 (외도이동)",323,4.4,0,0.0,제주시,제주
어제보다오늘,카페,영업,제주특별자치도 제주시 이호일동 367-1번지 ,"제주특별자치도 제주시 서해안로 68, 1층 (이호일동)",113,4.4,411,4.47,제주시,제주
한라닭강정,호프,영업,제주특별자치도 제주시 용담일동 131-7번지 ,"제주특별자치도 제주시 서문로 49, 1층 (용담일동)",52,4.6,267,4.58,제주시,제주
바움하우스,카페,영업,제주특별자치도 제주시 용담삼동 2400번지 ,"제주특별자치도 제주시 서해안로 448, 1,2층 (용담삼동)",67,3.9,917,4.54,제주시,제주
까페뚜이,카페,영업,제주특별자치도 제주시 한림읍 협재리 1461-1번지 ,"제주특별자치도 제주시 한림읍 협재1길 45, 1층",58,4.8,294,4.57,제주시,한림
갓포아키제주도,일식,영업,제주특별자치도 제주시 연동 263-15번지 메종글래드 제주 ,"제주특별자치도 제주시 노연로 80, 메종글래드 제주 1층 (연동)",68,4.1,156,4.51,제주시,제주
513텐동,일식,영업,제주특별자치도 제주시 내도동 513 ,"제주특별자치도 제주시 테우해안로 46, 2층 (내도동)",77,4.0,431,0.0,제주시,제주
원조부안집연동,고기,영업,제주특별자치도 제주시 연동 283-12 ,"제주특별자치도 제주시 신대로16길 41, 1층 2호 (연동)",30,3.7,83,4.95,제주시,제주
애월빵공장앤카페,카페,영업,제주특별자치도 제주시 애월읍 금성리 472-13 ,"제주특별자치도 제주시 애월읍 금성5길 42-15, 1,2층",347,4.4,3686,4.35,제주시,애월
버거아일랜드,양식,영업,제주특별자치도 제주시 애월읍 애월리 1584-1번지 ,"제주특별자치도 제주시 애월읍 애월로 118, 1층",33,4.0,2,0.0,제주시,애월
협재섬바다,한식,영업,제주특별자치도 제주시 한림읍 협재리 2765-5 ,"제주특별자치도 제주시 한림읍 금능남로 53, 1층",51,3.8,1083,0.0,제주시,한림
숙성도실버,고기,영업,제주특별자치도 제주시 이도이동 1767-15 ,"제주특별자치도 제주시 신성로13길 20, 1층 (이도이동)",44,3.6,258,0.0,제주시,제주
탱테일,양식,영업,제주특별자치도 제주시 노형동 910-1번지 에코휴리움 오피스 ,"제주특별자치도 제주시 원노형5길 19, 에코휴리움 오피스 1층 102호 (노형동)",30,4.7,114,4.76,제주시,제주
차일락,한식,영업,제주특별자치도 제주시 조천읍 대흘리 2220-6번지 ,"제주특별자치도 제주시 조천읍 중산간동로 663-1, 1층",34,3.7,134,4.17,제주시,조천
썬셋클리프,카페,영업,제주특별자치도 제주시 애월읍 애월리 2477번지 ,"제주특별자치도 제주시 애월읍 애월로1길 19-8, 1,2층",163,4.4,769,4.3,제주시,애월
료리야,일식,영업,제주특별자치도 제주시 한림읍 수원리 253번지 ,"제주특별자치도 제주시 한림읍 한림해안로 456, 1층",42,4.5,257,4.69,제주시,한림
왓섬,카페,영업,제주특별자치도 제주시 오등동 1175번지 ,"제주특별자치도 제주시 오등4길 3, 나동 1층 (오등동)",37,4.2,92,4.54,제주시,제주
식당마요네즈,양식,영업,제주특별자치도 제주시 노형동 1068-5번지 ,"제주특별자치도 제주시 다랑곶3길 18, 1층 (노형동)",219,4.2,748,4.57,제주시,제주
버거스테이,양식,영업,제주특별자치도 제주시 구좌읍 세화리 3647-4번지 ,"제주특별자치도 제주시 구좌읍 세화1길 20-18, 1층",68,4.7,261,4.69,제주시,구좌
한라봉스시,일식,영업,제주특별자치도 제주시 애월읍 애월리 2550 ,"제주특별자치도 제주시 애월읍 애월북서길 54, 2층",150,4.8,3181,4.29,제주시,애월
제주고집,고기,영업,제주특별자치도 제주시 도두이동 675번지 ,"제주특별자치도 제주시 서해안로 368-10, 1층 (도두이동)",648,3.9,1888,4.7,제주시,제주
제이제이그랑블루,카페,영업,제주특별자치도 제주시 애월읍 곽지리 1380 ,"제주특별자치도 제주시 애월읍 일주서로 6113, 1층",49,4.0,419,4.41,제주시,애월
훈이네,한식,영업,제주특별자치도 제주시 조천읍 선흘리 1813-15번지 ,"제주특별자치도 제주시 조천읍 선교로 460, 1층",42,4.8,57,4.6,제주시,조천
곽지횟집,해산물,영업,제주특별자치도 제주시 애월읍 곽지리 1622-44 ,"제주특별자치도 제주시 애월읍 곽지9길 39, 1층",48,3.8,0,0.0,제주시,애월
파스토,경양식,영업,제주특별자치도 제주시 한림읍 귀덕리 3883번지 ,"제주특별자치도 제주시 한림읍 한림해안로 540, 2층",36,4.9,0,0.0,제주시,한림
제철별미,해산물,영업,제주특별자치도 제주시 노형동 911-4번지 ,"제주특별자치도 제주시 원노형3길 28, 1층 (노형동)",30,4.6,61,4.68,제주시,제주
레이지,카페,영업,제주특별자치도 제주시 삼도일동 516번지 ,"제주특별자치도 제주시 서광로11길 14, 1층 (삼도일동)",32,4.4,61,4.61,제주시,제주
카페바나나함덕,카페,영업,제주특별자치도 제주시 조천읍 함덕리 1020-2번지 ,"제주특별자치도 제주시 조천읍 신북로 491-9, 3층",329,4.5,1748,4.75,제주시,조천
면도롱,한식,영업,제주특별자치도 제주시 한림읍 옹포리 588-2번지 ,"제주특별자치도 제주시 한림읍 한림로 475, 2층",44,4.4,172,4.37,제주시,한림
