사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동
제주협재털보스협재밀,양식,영업,제주특별자치도 제주시 한림읍 협재리 1695 ,"제주특별자치도 제주시 한림읍 협재1길 27-6, 2층",33,3.5,243,0.0,제주시,한림
라이터스블럭,양식,영업,제주특별자치도 제주시 이도이동 1947-1 ,"제주특별자치도 제주시 신설로5길 8, 1층 102호 (이도이동)",40,4.5,154,4.6,제주시,제주
잇마이피자,양식,영업,제주특별자치도 제주시 이도이동 1030-9 ,"제주특별자치도 제주시 중앙로 253, 2층 (이도이동)",48,4.3,570,4.67,제주시,제주
애월7일,카페,영업,제주특별자치도 제주시 애월읍 납읍리 1602-1 ,"제주특별자치도 제주시 애월읍 납읍로4길 7, 1층",38,4.9,135,4.66,제주시,애월
금능반지하,호프,영업,제주특별자치도 제주시 한림읍 금능리 1493-1 ,"제주특별자치도 제주시 한림읍 금능9길 30, 1층",61,4.2,222,4.45,제주시,한림
유메,한식,영업,제주특별자치도 제주시 삼도이동 1098-5 ,제주특별자치도 제주시 무근성7길 23 (삼도이동),70,4.5,314,4.73,제주시,제주
짚불도,고기,영업,제주특별자치도 제주시 한경면 판포리 2872 메가리조트 ,"제주특별자치도 제주시 한경면 판포1길 6, 메가리조트 1층 12호",360,3.9,0,0.0,제주시,한경
애월감성,양식,영업,제주특별자치도 제주시 애월읍 곽지리 1622-5 ,"제주특별자치도 제주시 애월읍 곽지9길 8, 1층 제3호",45,4.2,0,0.0,제주시,애월
오늘도화창,카페,영업,제주특별자치도 제주시 구좌읍 월정리 505 ,"제주특별자치도 제주시 구좌읍 월정5길 56, 1층",92,4.9,330,4.63,제주시,구좌
먹돌,한식,영업,제주특별자치도 제주시 용담이동 2747-6 ,"제주특별자치도 제주시 월성로 26, 1층 (용담이동)",57,4.8,0,0.0,제주시,제주
문문선,카페,영업,제주특별자치도 제주시 오등동 1274-3 ,"제주특별자치도 제주시 오등6길 31, 1층 (오등동)",35,3.8,199,4.64,제주시,제주
해오반,한식,영업,제주특별자치도 제주시 애월읍 고내리 598-1 ,"제주특별자치도 제주시 애월읍 고내로9길 1, 1층",253,4.8,1140,4.54,제주시,애월
제주달빛좋은밤,경양식,영업,제주특별자치도 제주시 한림읍 협재리 1512 ,"제주특별자치도 제주시 한림읍 한림로 424-1, 2층",34,4.3,809,4.82,제주시,한림
화로향,고기,영업,제주특별자치도 제주시 건입동 1399-2 ,"제주특별자치도 제주시 관덕로15길 27, 1층 (건입동)",82,3.6,92,4.21,제주시,제주
후룩,분식,영업,제주특별자치도 제주시 구좌읍 행원리 1482 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 584-2, 1동 2층",107,4.8,176,4.64,제주시,구좌
