사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num
컨츄리하우스,카페,영업,제주특별자치도 제주시 이도이동 1172-3번지 지층 ,"제주특별자치도 제주시 동광로8길 17-2 (이도이동, 지층)",0,0,0
고궁,카페,영업,제주특별자치도 제주시 이도일동 1736-13번지 ,제주특별자치도 제주시 동광로 1 (이도일동),0,0.0,0
에코랜드레이크카페,카페,영업,제주특별자치도 제주시 조천읍 교래리 385-1 ,"제주특별자치도 제주시 조천읍 남조로 1982, 1층",0,0,0
블리스찬,카페,영업,제주특별자치도 제주시 오라이동 3295-10 ,"제주특별자치도 제주시 아연로 112, 1층 (오라이동)",55,2.9,9
이스터,카페,영업,제주특별자치도 제주시 한경면 고산리 266번지 ,"제주특별자치도 제주시 한경면 칠전로 154, 1층",0,0,0
동성,카페,영업,제주특별자치도 제주시 일도이동 550-65번지 (지하1층) ,제주특별자치도 제주시 동문로 지하 102 (일도이동),0,0.0,0
카페아꼬떼,카페,영업,제주특별자치도 제주시 조천읍 선흘리 468-2번지 ,제주특별자치도 제주시 조천읍 선교로 548,0,5.0,3
마커스카페,카페,영업,제주특별자치도 제주시 구좌읍 행원리 1537-5 A동 ,"제주특별자치도 제주시 구좌읍 행원로1길 32, A동",12,4.3,6
카카듀,카페,영업,제주특별자치도 제주시 이도이동 1978-1번지 (1층) ,"제주특별자치도 제주시 박성내서길 18 (이도이동,(1층))",45,3.8,40
일조,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1419-4번지 ,제주특별자치도 제주시 구좌읍 구좌로 48,0,0.0,0
까페띠아모중앙점,카페,영업,제주특별자치도 제주시 이도일동 1482-2번지 ,제주특별자치도 제주시 중앙로14길 5 (이도일동),1,5.0,1
영란,카페,영업,제주특별자치도 제주시 이도일동 1789-1번지 ,제주특별자치도 제주시 중앙로 188 (이도일동),0,0.0,0
다인,카페,영업,제주특별자치도 제주시 용담일동 144-8번지 (지하1층) ,"제주특별자치도 제주시 서문로 68, 지하1층 (용담일동)",0,0.0,0
아리랑,카페,영업,제주특별자치도 제주시 삼도일동 787-5번지 ,제주특별자치도 제주시 서사로 78 (삼도일동),0,0.0,0
비원,카페,영업,제주특별자치도 제주시 일도일동 1171-6번지 ,제주특별자치도 제주시 동문로 23 (일도일동),0,0.0,0
카페투비,카페,영업,제주특별자치도 제주시 일도일동 1479-4번지 ,"제주특별자치도 제주시 동문로 2, 4층 (일도일동)",0,0,0
우도하영,카페,영업,제주특별자치도 제주시 우도면 연평리 867번지 ,"제주특별자치도 제주시 우도면 우도해안길 516, 1층",11,4.5,14
올레향,카페,영업,제주특별자치도 제주시 한경면 저지리 1715-25번지 ,"제주특별자치도 제주시 한경면 저지9길 45, 1층",0,0.0,0
삼양돈까스,카페,영업,제주특별자치도 제주시 삼양일동 1658-5번지 ,"제주특별자치도 제주시 선사로6길 10, 1층 (삼양일동)",0,0,0
에스피씨(주)제주공항점,카페,영업,제주특별자치도 제주시 용담이동 2002번지 제주공항일반대합실(3층) ,"제주특별자치도 제주시 공항로 2 (용담이동,제주공항일반대합실(3층))",0,0,0
피자굽는곰아저씨,패스트푸드,영업,제주특별자치도 제주시 한림읍 한림리 1209-2번지 ,제주특별자치도 제주시 한림읍 한림중앙로 10-1,0,5.0,2
목공카페아름드리,카페,영업,제주특별자치도 제주시 한경면 조수리 368-1번지 ,"제주특별자치도 제주시 한경면 홍수암로 555, 1층",0,0,0
위드미트,카페,영업,제주특별자치도 제주시 아라이동 35-23번지 ,제주특별자치도 제주시 제주대학로 111 (아라이동),0,4.5,2
디앤엠테이크아웃,카페,영업,제주특별자치도 제주시 노형동 2420번지 외5필지 ,제주특별자치도 제주시 광평동로 45 (노형동),0,0,0
블랑벨,카페,영업,제주특별자치도 제주시 구좌읍 송당리 2610 ,제주특별자치도 제주시 구좌읍 비자림로 1220,0,0,0
유람위드북스,카페,영업,제주특별자치도 제주시 한경면 조수리 434-2번지 ,"제주특별자치도 제주시 한경면 홍수암로 561, 1층",26,4.9,23
메종드카페,카페,영업,제주특별자치도 제주시 삼도일동 579-2번지 ,"제주특별자치도 제주시 서광로 242, 1층 (삼도일동)",1,4.8,5
한량,카페,영업,제주특별자치도 제주시 노형동 3803-1번지 ,"제주특별자치도 제주시 노형4길 6, 101호 (노형동)",4,3.8,4
배스킨라빈스제주삼화점,디저트,영업,제주특별자치도 제주시 도련일동 1972-2번지 ,"제주특별자치도 제주시 건주로 43, 1층 (도련일동)",1,2.2,16
탐앤탐스신제주점,카페,영업,제주특별자치도 제주시 연동 262-4번지 ,제주특별자치도 제주시 신광로 52 (연동),12,3.9,7
송당나무가드닝센터,카페,영업,제주특별자치도 제주시 구좌읍 송당리 874-4 ,"제주특별자치도 제주시 구좌읍 송당5길 68-140, 1층",5,3.4,21
맷쥬,디저트,영업,제주특별자치도 제주시 우도면 연평리 1184번지 ,"제주특별자치도 제주시 우도면 우도해안길 782-2, 1층 제2호",0,0,0
미스터피자신제주점,패스트푸드,영업,제주특별자치도 제주시 연동 276-7번지 ,제주특별자치도 제주시 신광로 101 (연동),5,2.1,12
로봇까페,카페,영업,제주특별자치도 제주시 구좌읍 한동리 1294번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1032, 2층",0,5.0,2
감성커피삼화점,카페,영업,제주특별자치도 제주시 삼양이동 2137-6번지 ,"제주특별자치도 제주시 지석13길 2-2, 1층 (삼양이동)",0,3.8,4
하도리안,카페,영업,제주특별자치도 제주시 구좌읍 하도리 433번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1788, A동 1층",4,4.8,5
모카,카페,영업,제주특별자치도 제주시 이도이동 1180-3번지 ,제주특별자치도 제주시 광양13길 2 (이도이동),0,5.0,2
한국맥도날드제주노형점,패스트푸드,영업,제주특별자치도 제주시 노형동 903-5 ,"제주특별자치도 제주시 노연로 7, 1~3층 (노형동)",14,2.4,36
띠아모북노형점,카페,영업,제주특별자치도 제주시 노형동 1054-6번지 아란야플라자 103호,"제주특별자치도 제주시 월랑로8길 1, 103호 (노형동,아란야플라자)",0,5.0,1
(주)산굼부리,카페,영업,제주특별자치도 제주시 조천읍 교래리 342-5번지 ,제주특별자치도 제주시 조천읍 비자림로 768,0,0.0,0
미와,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1467번지 ,"제주특별자치도 제주시 구좌읍 구좌로 51-1, 2층",88,4.5,65
이디야커피연동점,카페,영업,제주특별자치도 제주시 연동 272-1번지 ,제주특별자치도 제주시 신광로 27 (연동),0,2.4,7
시티빈,카페,영업,제주특별자치도 제주시 일도일동 1298-28번지 ,제주특별자치도 제주시 관덕로11길 17 (일도일동),0,0,0
도서관가는길커피집,카페,영업,제주특별자치도 제주시 오라이동 885-1번지 ,제주특별자치도 제주시 오남로 224 (오라이동),0,0,0
티움,카페,영업,제주특별자치도 제주시 이도일동 1252-11 ,"제주특별자치도 제주시 동광로3길 2, 1층 (이도일동)",0,0,0
달리북카페,카페,영업,제주특별자치도 제주시 한림읍 옹포리 126번지 ,"제주특별자치도 제주시 한림읍 월계로 18, 1층",35,4.7,64
동감,카페,영업,제주특별자치도 제주시 노형동 750-1번지 ,"제주특별자치도 제주시 진군길 38, 1층 (노형동)",0,4.0,6
파구스소소,카페,영업,제주특별자치도 제주시 한경면 고산리 267-4번지 ,"제주특별자치도 제주시 한경면 칠전로 153, 1층",0,0,0
잼잼팩토리,카페,영업,제주특별자치도 제주시 조천읍 와산리 1559-18번지 ,"제주특별자치도 제주시 조천읍 함와로 566-27, 119동 1층",0,0,0
바람의향기가전해주는하루는,카페,영업,제주특별자치도 제주시 일도일동 1055-7번지 ,"제주특별자치도 제주시 동문로8길 11-5, 1층 (일도일동)",0,5.0,1
카페라,카페,영업,제주특별자치도 제주시 이도이동 1772-22번지 ,"제주특별자치도 제주시 신성로13길 3, 1층 (이도이동)",2,3.0,2
세바,카페,영업,제주특별자치도 제주시 조천읍 선흘리 1093-1번지 외1필지(1층) ,제주특별자치도 제주시 조천읍 선흘동2길 20-7 (외1필지(1층)),73,4.1,28
난타오천법원점,패스트푸드,영업,제주특별자치도 제주시 이도이동 1994-10번지 ,제주특별자치도 제주시 남광로 8 (이도이동),0,0.0,0
(주)호텔샬롬카페,카페,영업,제주특별자치도 제주시 이도이동 1174-1번지 ,"제주특별자치도 제주시 동광로 34, 1~2층 (이도이동)",0,0,0
봄봄일도점,카페,영업,제주특별자치도 제주시 일도이동 48-5번지 ,"제주특별자치도 제주시 고마로 123, 1층 (일도이동)",1,1.5,4
커피동굴,카페,영업,제주특별자치도 제주시 건입동 674-53번지 ,"제주특별자치도 제주시 사라봉길 5, 지하1층 (건입동)",10,4.8,28
아쏘디쏭,카페,영업,제주특별자치도 제주시 이호일동 663-1번지 ,"제주특별자치도 제주시 도리로 50-1, 1층 (이호일동)",0,0.0,0
에이바우트커피시청점,카페,영업,제주특별자치도 제주시 이도이동 1179-9번지 ,"제주특별자치도 제주시 광양13길 1, 지하1~3층 (이도이동)",6,2.9,10
바다의별,카페,영업,제주특별자치도 제주시 구좌읍 동복리 1647번지 ,"제주특별자치도 제주시 구좌읍 동복로 5, 1층",2,5.0,2
김지연케이크,카페,영업,제주특별자치도 제주시 이도일동 1787-3번지 ,"제주특별자치도 제주시 광양6길 2, 10층 (이도일동)",0,5.0,1
다온,호프,영업,제주특별자치도 제주시 조천읍 와산리 1559-18번지 117동 ,"제주특별자치도 제주시 조천읍 함와로 566-27, 117동",0,5.0,1
카페기억해,카페,영업,제주특별자치도 제주시 구좌읍 1518-2번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 518, 1~2층",0,,0
더정글,카페,영업,제주특별자치도 제주시 애월읍 유수암리 881번지 ,"제주특별자치도 제주시 애월읍 유수암평화길 139, 1층",0,,0
커피주의보,카페,영업,제주특별자치도 제주시 이도이동 1994-5번지 ,"제주특별자치도 제주시 남광로 16, 1층 (이도이동)",0,0.0,0
안녕세화씨,카페,영업,제주특별자치도 제주시 구좌읍 세화리 3644-2번지 ,"제주특별자치도 제주시 구좌읍 세화3길 35, 3층",0,0,0
메종손드물,카페,영업,제주특별자치도 제주시 한경면 금등리 652번지 ,"제주특별자치도 제주시 한경면 일주서로 4459-10, 2층",0,0,0
두가시앤오가니끄,카페,영업,제주특별자치도 제주시 구좌읍 종달리 1783 ,"제주특별자치도 제주시 구좌읍 종달로5길 3, 1동",11,5.0,5
커피템플,카페,영업,제주특별자치도 제주시 월평동 1348-3번지 ,"제주특별자치도 제주시 영평길 269, 1층 (월평동)",229,4.4,92
카페비아,카페,영업,제주특별자치도 제주시 삼양삼동 2560-1번지 ,"제주특별자치도 제주시 벌랑6길 20-1, 1층 (삼양삼동)",0,0,0
도나망,카페,영업,제주특별자치도 제주시 조천읍 함덕리 906번지 ,"제주특별자치도 제주시 조천읍 일주동로 1208, 1층",90,3.9,12
은하수,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1454-1 ,"제주특별자치도 제주시 구좌읍 세화3길 8, 1층",0,0.0,0
소심한물고기,카페,영업,제주특별자치도 제주시 구좌읍 행원리 1482번지 ,"제주특별자치도 제주시 구좌읍 행원로7길 23-8, 1동 1층",0,0,0
장미다방,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1538-4 ,"제주특별자치도 제주시 구좌읍 구좌로 34-1, 2층",0,0.0,0
향다방,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1419-8번지 외1필지 ,제주특별자치도 제주시 구좌읍 구좌로 44,0,5.0,1
행복만들기,카페,영업,제주특별자치도 제주시 이도일동 1258-15번지 ,제주특별자치도 제주시 동광로 5 (이도일동),0,0,0
석화,카페,영업,제주특별자치도 제주시 연동 281-41번지 ,제주특별자치도 제주시 삼무로7길 24 (연동),0,5.0,1
제이케이카페전문점카페누리,카페,영업,제주특별자치도 제주시 노형동 3813-10번지 ,"제주특별자치도 제주시 한라대학로 37, 1층 (노형동)",0,0,0
지정환임실치즈피자신제주점,패스트푸드,영업,제주특별자치도 제주시 연동 1418-2번지 ,"제주특별자치도 제주시 삼동2길 12, 1층 (연동)",0,0,0
도도톳김밥,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1477-15 ,제주특별자치도 제주시 구좌읍 해맞이해안로 1460,68,4.1,60
오지의마법사,카페,영업,제주특별자치도 제주시 구좌읍 하도리 1026번지 ,"제주특별자치도 제주시 구좌읍 세종로 283, 1층",0,0,0
카페도두,카페,영업,제주특별자치도 제주시 도두이동 705번지 ,"제주특별자치도 제주시 서해안로 342, 1층 (도두이동)",32,4.3,25
망고버스연동점,카페,영업,제주특별자치도 제주시 연동 282-3번지 ,"제주특별자치도 제주시 삼무로 56, 101호 (연동)",0,0,0
달숲,카페,영업,제주특별자치도 제주시 한경면 조수리 2172번지 ,"제주특별자치도 제주시 한경면 용금로 262-17, 나동 1층",7,4.8,5
정다락,카페,영업,제주특별자치도 제주시 이도이동 442-4번지 ,"제주특별자치도 제주시 연신로 34, 1층 (이도이동)",0,0,0
유정,카페,영업,제주특별자치도 제주시 건입동 1043-8번지 ,"제주특별자치도 제주시 동문로 89-2, 지하1층 (건입동)",0,0,0
커피바리,카페,영업,제주특별자치도 제주시 조천읍 조천리 276번지 ,"제주특별자치도 제주시 조천읍 남조로 1794-3, 1층",1,3.0,2
록록,카페,영업,제주특별자치도 제주시 구좌읍 하도리 1890-2번지 ,"제주특별자치도 제주시 구좌읍 하도서문길 41, 1층",0,0,0
드롭탑제주삼성점,카페,영업,제주특별자치도 제주시 이도일동 1289-18번지 ,"제주특별자치도 제주시 광양1길 2, 1~2층 (이도일동)",2,3.0,4
교차로,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1419-2번지 ,제주특별자치도 제주시 구좌읍 구좌로 52,1,4.0,1
