사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars
소렉,경양식,영업,제주특별자치도 제주시 연동 272-37 ,"제주특별자치도 제주시 은남2길 41, 1층 (연동)",104,4.4,29,0,0.0
섬고래,일식,영업,제주특별자치도 제주시 한림읍 금능리 1395 ,"제주특별자치도 제주시 한림읍 금능길 65, 1층",40,4.7,42,0,0.0
릴로,카페,영업,제주특별자치도 제주시 구좌읍 종달리 1889-4번지 ,"제주특별자치도 제주시 구좌읍 종달로 60-12, 1층",84,4.8,66,0,0.0
공주네국수,한식,영업,제주특별자치도 제주시 봉개동 1815-1 ,"제주특별자치도 제주시 삼봉로 353, 1층 (봉개동)",82,4.1,18,0,0.0
대춘해장국,한식,영업,제주특별자치도 제주시 도남동 380-2번지 ,"제주특별자치도 제주시 연북로 398, 1층 (도남동)",101,4.4,72,0,0.0
두툼한고기돈돼지,고기,영업,제주특별자치도 제주시 조천읍 함덕리 960-9 ,"제주특별자치도 제주시 조천읍 함덕19길 3, 1층",77,4.7,192,0,0.0
오늘도회는뜬다1호점,해산물,영업,제주특별자치도 제주시 조천읍 함덕리 1002-17번지 ,"제주특별자치도 제주시 조천읍 함덕13길 1-1, 1~2층",118,4.2,38,0,0.0
고요새,카페,영업,제주특별자치도 제주시 삼양일동 1569-25 ,제주특별자치도 제주시 선사로8길 11 (삼양일동),144,4.1,29,0,0.0
담백,외국요리,영업,제주특별자치도 제주시 구좌읍 행원리 1518-2 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 518, 1층",98,4.5,73,0,0.0
모닥식탁,한식,영업,"제주특별자치도 제주시 구좌읍 한동로 134, 1층","제주특별자치도 제주시 구좌읍 한동로 134, 1층",50,4.7,23,0,0.0
바당길,한식,영업,제주특별자치도 제주시 한림읍 한림리 1475-10번지 ,"제주특별자치도 제주시 한림읍 한림서길 18, 1층",162,4.1,154,0,0.0
제주반딧불한담애월점,한식,영업,제주특별자치도 제주시 애월읍 애월리 2527-12 ,"제주특별자치도 제주시 애월읍 애월로1길 24-11, 1층",429,4.3,122,0,0.0
오롯,한식,영업,제주특별자치도 제주시 아라이동 3009-5번지 ,"제주특별자치도 제주시 신설로11길 2-10, 1층 (아라이동)",108,4.3,83,0,0.0
영주말가든,한식,영업,제주특별자치도 제주시 오라이동 3176 ,"제주특별자치도 제주시 연북로 196, 1층 (오라이동)",33,3.6,11,0,0.0
함덕88동,고기,영업,제주특별자치도 제주시 조천읍 함덕리 3080-1번지 ,제주특별자치도 제주시 조천읍 함덕6길 5,37,3.8,9,0,0.0
만지식당,한식,영업,제주특별자치도 제주시 애월읍 고내리 1039-1번지 ,"제주특별자치도 제주시 애월읍 고내로 13-1, 1층",127,4.3,81,0,0.0
문개항아리애월점,한식,영업,제주특별자치도 제주시 애월읍 하귀2리 2701-1 ,제주특별자치도 제주시 애월읍 가문동길 38,75,4.5,256,0,0.0
허디거디이도점,경양식,영업,제주특별자치도 제주시 아라이동 3009-4번지 ,"제주특별자치도 제주시 신설로11길 2-8, 1층 (아라이동)",69,3.6,14,0,0.0
닐스,경양식,영업,제주특별자치도 제주시 한림읍 옹포리 887 ,"제주특별자치도 제주시 한림읍 일주서로 5153, 가동 1층",34,4.8,33,0,0.0
블랑로쉐,카페,영업,제주특별자치도 제주시 우도면 연평리 712 ,"제주특별자치도 제주시 우도면 우도해안길 783, 1층",394,4.1,163,0,0.0
순두부엔짬뽕,한식,영업,제주특별자치도 제주시 외도일동 569-2번지 ,"제주특별자치도 제주시 통물길 30, 지하1층 (외도일동)",95,3.8,24,0,0.0
몬스터살롱,패스트푸드,영업,제주특별자치도 제주시 애월읍 곽지리 1669-1번지 ,"제주특별자치도 제주시 애월읍 일주서로 6017, 1층",571,4.1,204,0,0.0
백마가든,고기,영업,제주특별자치도 제주시 조천읍 와흘리 2539 ,"제주특별자치도 제주시 조천읍 중산간동로 347, 1층",30,4.8,11,0,0.0
연화키친,한식,영업,제주특별자치도 제주시 애월읍 상가리 1697번지 ,"제주특별자치도 제주시 애월읍 상가로 51, 1층",44,4.2,20,0,0.0
제주맑음,카페,영업,제주특별자치도 제주시 삼도이동 986-3번지 ,"제주특별자치도 제주시 관덕로3길 1-1, 1층 (삼도이동)",49,3.9,23,0,0.0
