사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동,위도,경도
종종제주,카페,영업,제주특별자치도 제주시 조천읍 선흘리 626-28 ,"제주특별자치도 제주시 조천읍 선교로 66, 1층",13,5.0,337,4.98,제주시,조천,33.4879452413102, 126.712567443167
이디야제주외도,카페,영업,제주특별자치도 제주시 외도일동 476-1 ,"제주특별자치도 제주시 우정로5길 4, 1층 (외도일동)",0,5.0,130,4.76,제주시,제주,33.4902159271087, 126.431227767014
소소밀,카페,영업,제주특별자치도 제주시 오등동 769-7 ,"제주특별자치도 제주시 한북로 139, 1층 (오등동)",8,4.9,66,4.93,제주시,제주,33.4637371844064, 126.530995889979
베러댄버터,카페,영업,제주특별자치도 제주시 노형동 1295-1 ,"제주특별자치도 제주시 월랑로2길 30, 1층 (노형동)",2,4.2,59,4.68,제주시,제주,33.4882266485151, 126.48171067645
컴포즈커피화북공단,카페,영업,제주특별자치도 제주시 화북이동 3713-1 ,"제주특별자치도 제주시 화남로 65, 1층 (화북이동)",1,5.0,62,4.88,제주시,제주,33.5121614628684, 126.563820975445
공차한라대,카페,영업,제주특별자치도 제주시 노형동 3813-5 ,"제주특별자치도 제주시 한라대학로 31, 1층 (노형동)",2,2.1,202,4.33,제주시,제주,33.4786508350514, 126.475047736727
브릭커피,카페,영업,제주특별자치도 제주시 노형동 2592-8 ,"제주특별자치도 제주시 정존1길 21, 1층 (노형동)",29,3.0,172,4.41,제주시,제주,33.4825568628141, 126.471328674458
바잘트,카페,영업,제주특별자치도 제주시 이도이동 1776-10 ,"제주특별자치도 제주시 서광로 294, 1층 (이도이동)",20,5.0,228,4.61,제주시,제주,33.5002062821945, 126.527892729572
옹다방,카페,영업,제주특별자치도 제주시 한경면 신창리 1451-1 ,"제주특별자치도 제주시 한경면 한경해안로 420, 1층",13,4.6,258,4.58,제주시,한경,33.3410219585723, 126.166792933877
근휘커피,카페,영업,제주특별자치도 제주시 이도이동 2025-3 ,"제주특별자치도 제주시 구남로6길 44, 1층 (이도이동)",18,4.6,103,4.84,제주시,제주,33.4869639540323, 126.536443821983
세라젬웰카페제주노형,카페,영업,제주특별자치도 제주시 노형동 719-5 ,"제주특별자치도 제주시 연북로 30, 1층 101호 (노형동)",9,4.4,166,4.6,제주시,제주,33.4816703312473, 126.484578859991
단호,카페,영업,제주특별자치도 제주시 아라일동 6093-2 ,"제주특별자치도 제주시 아란5길 31-6, 1층 (아라일동)",0,4.8,151,4.74,제주시,제주,33.4737781276319, 126.544398031442
지이32,카페,영업,제주특별자치도 제주시 용담삼동 1020-6 ,"제주특별자치도 제주시 서해안로 620-4, 1층 (용담삼동)",0,4.0,219,4.5,제주시,제주,33.5165333636437, 126.503109256961
nan,카페,영업,제주특별자치도 제주시 조천읍 신촌리 2396 ,"제주특별자치도 제주시 조천읍 신촌북3길 39-3, 1층",0,0.0,696,4.79,제주시,조천,33.5371371428953, 126.615200262779
카페앤틱애월,카페,영업,제주특별자치도 제주시 애월읍 하귀1리 200-10 ,"제주특별자치도 제주시 애월읍 하귀11길 39, 1층",1,4.0,232,4.98,제주시,애월,33.4826488573248, 126.414168451784
더벤티제주노형,카페,영업,제주특별자치도 제주시 노형동 1281-8 ,"제주특별자치도 제주시 월랑로 5, 1층 (노형동)",1,0.0,129,4.6,제주시,제주,33.4866672791719, 126.478299846426
베이크,카페,영업,제주특별자치도 제주시 외도일동 541-13 ,제주특별자치도 제주시 우정로 60 (외도일동),0,3.6,53,4.46,제주시,제주,33.4875414006142, 126.430705426725
김한미술관,카페,영업,제주특별자치도 제주시 한림읍 상대리 3206 ,"제주특별자치도 제주시 한림읍 한상로 115, 1층",23,5.0,179,4.95,제주시,한림,33.4090334135199, 126.287131556348
앤티앤스프레즐제주시청,패스트푸드,영업,제주특별자치도 제주시 이도이동 1772-19 ,"제주특별자치도 제주시 중앙로 222, 1층 (이도이동)",6,4.6,227,4.45,제주시,제주,33.4997930102783, 126.529485520069
디오커피랩,카페,영업,제주특별자치도 제주시 연동 1409 ,"제주특별자치도 제주시 과원로 70, 1층 (연동)",1,5.0,63,4.74,제주시,제주,33.4755999317356, 126.491065581235
펜고호다,카페,영업,제주특별자치도 제주시 애월읍 봉성리 4123-6 ,"제주특별자치도 제주시 애월읍 봉성로 61, 1층",29,4.9,109,4.91,제주시,애월,33.4183338391624, 126.312332823942
도리관광농원,카페,영업,제주특별자치도 제주시 조천읍 교래리 465-3 ,"제주특별자치도 제주시 조천읍 비자림로 607, 1~2층",6,4.3,104,4.58,제주시,조천,33.434063447104, 126.672713248593
아꼬운제주,카페,영업,제주특별자치도 제주시 이호이동 1177 현하우스 ,"제주특별자치도 제주시 오광로 92, 현하우스 1층 (이호이동)",6,5.0,68,4.78,제주시,제주,33.4878347737042, 126.459187884808
탐앤탐스커피외도,카페,영업,제주특별자치도 제주시 외도이동 300 ,"제주특별자치도 제주시 월대5길 6, 1층 (외도이동)",10,4.6,270,4.37,제주시,제주,33.4945139430889, 126.435597589807
애월읍도도리,카페,영업,제주특별자치도 제주시 애월읍 구엄리 1271-1 ,"제주특별자치도 제주시 애월읍 구엄길 74, 1층",12,4.5,78,4.91,제주시,애월,33.4810236336372, 126.376251849885
소콩달콩,카페,영업,제주특별자치도 제주시 용담이동 885-12 삼보빌라 ,"제주특별자치도 제주시 성화로 1, 1층 101호 (용담이동, 삼보빌라)",1,5.0,99,4.82,제주시,제주,33.5102069869835, 126.504681264966
이드레,카페,영업,제주특별자치도 제주시 구좌읍 월정리 670-5 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 402, 1층",19,5.0,981,4.92,제주시,구좌,33.5593554953424, 126.792664708999
양가형제노형,패스트푸드,영업,제주특별자치도 제주시 노형동 3803-3 ,"제주특별자치도 제주시 노형4길 10, 1층 1호 (노형동)",22,3.8,183,4.6,제주시,제주,33.4818711557981, 126.475327634337
칼라,카페,영업,제주특별자치도 제주시 화북일동 1012-1 ,"제주특별자치도 제주시 화삼북로2길 19, 103호 (화북일동)",3,5.0,103,4.77,제주시,제주,33.5156186413749, 126.576745079557
엔제리너스제주공항1층,카페,영업,제주특별자치도 제주시 용담이동 2002 제주국제공항 ,"제주특별자치도 제주시 공항로 2, 제주국제공항 여객청사 1층 (용담이동)",3,5.0,1040,4.41,제주시,제주,33.5077816117418, 126.49313255015
연화차,카페,영업,제주특별자치도 제주시 조천읍 선흘리 624-1 ,"제주특별자치도 제주시 조천읍 선교로 46, 1층",9,4.9,965,4.98,제주시,조천,33.4876094701648, 126.714667948731
요우르,카페,영업,제주특별자치도 제주시 조천읍 신흥리 20-4 ,"제주특별자치도 제주시 조천읍 조함해안로 343, 1층",14,4.8,149,4.91,제주시,조천,33.5493332562272, 126.654107862812
더벤티제주삼화,카페,영업,제주특별자치도 제주시 도련일동 1938-3 ,"제주특별자치도 제주시 건주로4길 6-8, 1층 104호 (도련일동)",0,5.0,168,4.53,제주시,제주,33.516793798183, 126.580302113518
아스쿰,카페,영업,제주특별자치도 제주시 이도이동 1 ,"제주특별자치도 제주시 연북신설길 39, 1층 (이도이동)",11,5.0,63,4.76,제주시,제주,33.496998808292, 126.55231436823
시간을담다,카페,영업,제주특별자치도 제주시 구좌읍 평대리 579-8 ,"제주특별자치도 제주시 구좌읍 평대7길 20-1, 1층",5,4.0,66,4.83,제주시,구좌,33.5300299747009, 126.843810708037
에이바우트커피도련,카페,영업,제주특별자치도 제주시 도련일동 1917-4 ,"제주특별자치도 제주시 건주로3길 11, 1층 (도련일동)",1,0.0,132,4.07,제주시,제주,33.5161484133135, 126.581413874287
미미커피,카페,영업,제주특별자치도 제주시 이도이동 2013-4 ,"제주특별자치도 제주시 구남동4길 38, 1층 (이도이동)",28,5.0,81,4.82,제주시,제주,33.4876265394869, 126.536613527683
벌크커피신,카페,영업,제주특별자치도 제주시 연동 261-23 제주연동 하우스디어반 ,"제주특별자치도 제주시 삼무로 18, 제주연동 하우스디어반 1층 101호 (연동)",1,0.0,116,4.51,제주시,제주,33.4879243371972, 126.488959758356
로드33,카페,영업,제주특별자치도 제주시 연동 313-100 행복채움 ,"제주특별자치도 제주시 문송길 33, 행복채움 1층 101호 (연동)",0,0.0,54,4.37,제주시,제주,33.485661443043, 126.497806771969
오카소,카페,영업,제주특별자치도 제주시 조천읍 함덕리 1255 ,"제주특별자치도 제주시 조천읍 함덕16길 52-1, 1층",22,4.4,59,4.69,제주시,조천,33.5419988330683, 126.664071481615
프랭크버거제주삼화,패스트푸드,영업,제주특별자치도 제주시 화북일동 1012-1 ,"제주특별자치도 제주시 화삼북로2길 19, 1층 102호 (화북일동)",4,4.5,316,4.51,제주시,제주,33.5156186413749, 126.576745079557
우땅밤,카페,영업,제주특별자치도 제주시 도련이동 515-1 ,"제주특별자치도 제주시 삼봉로 39, 1동 1층 (도련이동)",1,4.5,59,4.57,제주시,제주,33.5179039964207, 126.588953072737
